"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Выход из аккаунта","25140","logoutTest","","Tue Aug 19 21:52:51 MSK 2025","broken","Tue Aug 19 21:53:16 MSK 2025","","tests.LogoutTest","tests.LogoutTest","logoutTest"
"Ошибка при коротком пароле (<6)","14135","registrationInvalidPassword","","Tue Aug 19 21:53:31 MSK 2025","passed","Tue Aug 19 21:53:45 MSK 2025","","tests.RegistrationTest","tests.RegistrationTest","registrationInvalidPassword"
"Успешная регистрация с валидным паролем (>=6), редирект на страницу логина","15546","successfulRegistration","","Tue Aug 19 21:53:16 MSK 2025","passed","Tue Aug 19 21:53:31 MSK 2025","","tests.RegistrationTest","tests.RegistrationTest","successfulRegistration"
"Вход через кнопку в форме регистрации","15356","loginFromRegisterForm","","Tue Aug 19 21:51:50 MSK 2025","passed","Tue Aug 19 21:52:05 MSK 2025","","tests.LoginTest","tests.LoginTest","loginFromRegisterForm"
"Переход в Личный кабинет по клику на 'Личный Кабинет'","16240","goToAccount","","Tue Aug 19 21:51:05 MSK 2025","passed","Tue Aug 19 21:51:21 MSK 2025","","tests.AccountNavigationTest","tests.AccountNavigationTest","goToAccount"
"Вкладки конструктора переключаются: Булки / Соусы / Начинки","13645","tabsSwitching","","Tue Aug 19 21:51:36 MSK 2025","failed","Tue Aug 19 21:51:50 MSK 2025","","tests.ConstructorTabsTest","tests.ConstructorTabsTest","tabsSwitching"
"Вход через кнопку 'Личный Кабинет'","14936","loginViaAccountButton","","Tue Aug 19 21:52:36 MSK 2025","passed","Tue Aug 19 21:52:51 MSK 2025","","tests.LoginTest","tests.LoginTest","loginViaAccountButton"
"Из личного кабинета переход в Конструктор через ссылку 'Конструктор' и по логотипу","15493","fromAccountToConstructor","","Tue Aug 19 21:51:21 MSK 2025","passed","Tue Aug 19 21:51:36 MSK 2025","","tests.AccountNavigationTest","tests.AccountNavigationTest","fromAccountToConstructor"
"Вход через кнопку в форме восстановления пароля","15363","loginFromForgotPassword","","Tue Aug 19 21:52:05 MSK 2025","passed","Tue Aug 19 21:52:21 MSK 2025","","tests.LoginTest","tests.LoginTest","loginFromForgotPassword"
"Вход по кнопке 'Войти в аккаунт' на главной","14895","loginViaMainButton","","Tue Aug 19 21:52:21 MSK 2025","passed","Tue Aug 19 21:52:36 MSK 2025","","tests.LoginTest","tests.LoginTest","loginViaMainButton"
